,dataset,trial,subject_id,correct,rt
0,hvm,hvm435,0.0,1.0,2300.0
1,hvm,hvm930,0.0,0.0,1950.0
2,hvm,hvm525,0.0,1.0,1399.0
3,hvm,hvm195,0.0,1.0,2030.0
4,hvm,hvm595,0.0,1.0,3678.0
5,hvm,hvm575,0.0,1.0,2150.0
6,hvm,hvm90,0.0,1.0,1198.0
7,hvm,hvm730,0.0,0.0,1693.0
8,hvm,hvm596,0.0,1.0,2926.0
9,hvm,hvm1115,0.0,1.0,2134.0
10,hvm,hvm270,0.0,1.0,1830.0
11,hvm,hvm1040,0.0,1.0,2070.0
12,hvm,hvm830,0.0,1.0,1750.0
13,hvm,hvm65,0.0,1.0,1670.0
14,hvm,hvm500,0.0,0.0,3278.0
15,hvm,hvm1055,0.0,1.0,3430.0
16,hvm,hvm915,0.0,0.0,1640.0
17,hvm,hvm350,0.0,1.0,2726.0
18,hvm,hvm825,0.0,1.0,1806.0
19,hvm,hvm946,0.0,0.0,3574.0
20,hvm,hvm885,0.0,1.0,1494.0
21,hvm,hvm715,0.0,1.0,1326.0
22,hvm,hvm890,0.0,1.0,1542.0
23,hvm,hvm785,0.0,1.0,1422.0
24,hvm,hvm1020,0.0,1.0,2558.0
25,hvm,hvm115,0.0,1.0,1557.0
26,hvm,hvm670,0.0,1.0,2237.0
27,hvm,hvm30,0.0,1.0,1902.0
28,hvm,hvm520,0.0,1.0,2326.0
29,hvm,hvm1035,0.0,1.0,1974.0
30,hvm,hvm35,0.0,1.0,1967.0
31,hvm,hvm230,0.0,1.0,1462.0
32,hvm,hvm675,0.0,1.0,1654.0
33,hvm,hvm265,0.0,1.0,1622.0
34,hvm,hvm820,0.0,1.0,1654.0
35,hvm,hvm60,0.0,1.0,1447.0
36,hvm,hvm810,0.0,1.0,2230.0
37,hvm,hvm390,0.0,1.0,982.0
38,hvm,hvm700,0.0,1.0,1438.0
39,hvm,hvm1025,0.0,1.0,1502.0
40,hvm,hvm995,0.0,0.0,2310.0
41,hvm,hvm60,0.0,1.0,1198.0
42,hvm,hvm36,0.0,1.0,2261.0
43,hvm,hvm960,0.0,1.0,1710.0
44,hvm,hvm15,0.0,1.0,1694.0
45,hvm,hvm910,0.0,0.0,2118.0
46,hvm,hvm630,0.0,1.0,2806.0
47,hvm,hvm1010,0.0,1.0,1462.0
48,hvm,hvm555,0.0,0.0,1518.0
49,hvm,hvm185,0.0,1.0,1990.0
50,hvm,hvm875,0.0,1.0,1638.0
51,hvm,hvm280,0.0,1.0,1222.0
52,hvm,hvm786,0.0,1.0,1526.0
53,hvm,hvm170,0.0,1.0,1806.0
54,hvm,hvm740,0.0,1.0,1942.0
55,hvm,hvm280,1.0,1.0,2174.0
56,hvm,hvm190,1.0,1.0,2018.0
57,hvm,hvm787,1.0,1.0,2136.0
58,hvm,hvm760,1.0,1.0,1894.0
59,hvm,hvm716,1.0,1.0,1897.0
60,hvm,hvm251,1.0,1.0,1530.0
61,hvm,hvm620,1.0,1.0,2281.0
62,hvm,hvm615,1.0,1.0,2119.0
